local,pin,area,district,state
Bisham B.O,276205,Lalganj,Azamgarh,UTTAR PRADESH
Bithuwa B.O,276202,Lal Ganj,Azamgarh,UTTAR PRADESH
Buxpur Mejawa B.O,276304,Phoolpur,Azamgarh,UTTAR PRADESH
Canal Head B.O,275303,Ghosi,Mau,UTTAR PRADESH
Chiraia Kot S.O,276129,Mohammada Bad Gohana,Mau,UTTAR PRADESH
Chirkihit B.O,276202,Lal Ganj,Azamgarh,UTTAR PRADESH
Dandwal B.O,276203,Lalganj,Azamgarh,UTTAR PRADESH
Dayalpur B.O,276302,Nizama Bad,Azamgarh,UTTAR PRADESH
Gahani B.O,221705,Sadar,Mau,UTTAR PRADESH
Garerua B.O,276136,Sagari,Azamgarh,UTTAR PRADESH
Gaura B.O,276142,Lalganj,Azamgarh,UTTAR PRADESH
Ghosi S.O (Mau),275304,Ghosi,Mau,UTTAR PRADESH
Gonghat B.O,276306,Azamgarh ,Azamgarh,UTTAR PRADESH
Haji Pur B.O,276122,Sagari,Azamgarh,UTTAR PRADESH
Hamid Pur B.O,275302,Ghosi,Mau,UTTAR PRADESH
Indara S.O,275102,Sadar,Mau,UTTAR PRADESH
Jamalpur B.O,276205,Burhanpur,Azamgarh,UTTAR PRADESH
Jameel Pur B.O,276139,Sagri,Azamgarh,UTTAR PRADESH
Jokhara B.O,276136,Mehnagar **,Azamgarh,UTTAR PRADESH
Kaitholi B.O,275101,Sadar,Mau,UTTAR PRADESH
Kamarawa B.O,276129,Mohd. Gohana,Mau,UTTAR PRADESH
Kammar Pur B.O,276303,Lal Ganj,Azamgarh,UTTAR PRADESH
Kathtaraon B.O,221602,Madhuban,Mau,UTTAR PRADESH
Kaudia B.O,276141,Azamgarh ,Azamgarh,UTTAR PRADESH
Khandaura B.O,276143,Phoolpur,Azamgarh,UTTAR PRADESH
Khaniara B.O,276202,Lalganj,Azamgarh,UTTAR PRADESH
Khutauli B.O,276304,Phoolpur,Azamgarh,UTTAR PRADESH
Khutia B.O,276208,Mehnagar **,Azamgarh,UTTAR PRADESH
Kisundaspur B.O,276208,Nizamabad,Azamgarh,UTTAR PRADESH
Kohanda B.O,276288,Phulpur ,Azamgarh,UTTAR PRADESH
Madharsia B.O,276208,Nizamabad,Azamgarh,UTTAR PRADESH
Mahul S.O,223225,Burhanpur,Azamgarh,UTTAR PRADESH
Mandanpur B.O,276124,Sagari,Azamgarh,UTTAR PRADESH
Mande B.O,276129,Sadar,Azamgarh,UTTAR PRADESH
Mangit Pur B.O,276142,Lalganj,Azamgarh,UTTAR PRADESH
Mohammadabad Sipah B.O,275303,Ghosi,Mau,UTTAR PRADESH
Nai Bazar B.O,275303,Ghosi,Mau,UTTAR PRADESH
Nasira Bad Kala B.O,221706,Sadar,Mau,UTTAR PRADESH
Niauj B.O,276305,Nijamabad,Azamgarh,UTTAR PRADESH
Ora B.O,276208,Mehnagar **,Azamgarh,UTTAR PRADESH
Pakar Deeha B.O,223223,Azamgarh ,Azamgarh,UTTAR PRADESH
Pardaha B.O,221705,Sadar,Mau,UTTAR PRADESH
Phulaieh Khajura B.O,276126,Lalganj,Azamgarh,UTTAR PRADESH
Ranipur Razamo B.O,276302,Nizama Bad,Azamgarh,UTTAR PRADESH
Rasoolpur B.O,276204,Sagri,Azamgarh,UTTAR PRADESH
Ratan Pura S.O,221706,Sadar,Mau,UTTAR PRADESH
Renda B.O,276204,Sagri,Azamgarh,UTTAR PRADESH
Saraimeer S.O,276305,Nizamabad,Azamgarh,UTTAR PRADESH
Sema B.O,276131,Sadar,Azamgarh,UTTAR PRADESH
Shbili B.O,276135,NA,Azamgarh,UTTAR PRADESH
Sherpur B.O,276129,Sadar,Azamgarh,UTTAR PRADESH
"Sidhari, B.O",276128,NA,Azamgarh,UTTAR PRADESH
Sikaraur Sahabari B.O,223226,Phoolpur,Azamgarh,UTTAR PRADESH
Sukhi Pur B.O,223221,Phool Pur,Azamgarh,UTTAR PRADESH
Surahan B.O,223224,Phool Pur,Azamgarh,UTTAR PRADESH
Tahar Wajid Pur B.O,276141,Budan Pur,Azamgarh,UTTAR PRADESH
Umapur B.O,221705,Sadar,Mau,UTTAR PRADESH
Adari B.O,275102,Maunath Bhanjan,Mau,UTTAR PRADESH
Ajamat Garh Estate S.O,276124,Sagari,Azamgarh,UTTAR PRADESH
Amuwari B.O,276138,Sagari,Azamgarh,UTTAR PRADESH
Ataraul Pandey B.O,221706,Sadar,Mau,UTTAR PRADESH
Badasara Aima B.O,276141,Nizamabad,Azamgarh,UTTAR PRADESH
Badasara Khalsa B.O,276141,Nizamabad,Azamgarh,UTTAR PRADESH
Baksh Pur B.O,276303,Lal Ganj,Azamgarh,UTTAR PRADESH
Baktawar Ganj B.O,275305,Sadar,Mau,UTTAR PRADESH
Barahalaganj B.O,276129,Sadar,Azamgarh,UTTAR PRADESH
Base Pur Dandava B.O,223223,Budan Pur,Azamgarh,UTTAR PRADESH
Bazar Gosain S.O,276127,Azamgarh ,Azamgarh,UTTAR PRADESH
Benupur B.O,276204,Sagri,Azamgarh,UTTAR PRADESH
Berama B.O,276138,Azamgarh ,Azamgarh,UTTAR PRADESH
Bhadaon B.O,223224,Phool Pur.,Azamgarh,UTTAR PRADESH
Bhatmila B.O,275301,Ghosi,Mau,UTTAR PRADESH
Bheera B.O,276301,Lalganj,Azamgarh,UTTAR PRADESH
Bibipur B.O,276123,Mehnagar,Azamgarh,UTTAR PRADESH
Bibipur B.O,276135,Sadar,Azamgarh,UTTAR PRADESH
Bilaria Ganj S.O,276121,Sagari,Azamgarh,UTTAR PRADESH
Bindra Bazar B.O,276205,Burhanpur,Azamgarh,UTTAR PRADESH
Bisunpura B.O,276405,Lalganj,Azamgarh,UTTAR PRADESH
Bramhanpur B.O,276129,Maunath Bhanjan,Mau,UTTAR PRADESH
Bunda B.O,223226,Phoolpur,Azamgarh,UTTAR PRADESH
Chhaon B.O,276302,Nizama Bad,Azamgarh,UTTAR PRADESH
Chhapra Sultanpur B.O,276124,Azamgarh ,Azamgarh,UTTAR PRADESH
Chhihi B.O,276121,Sagari,Azamgarh,UTTAR PRADESH
Dama B.O,276204,Sagri,Azamgarh,UTTAR PRADESH
Daulatabad B.O,276129,Sadar,Azamgarh,UTTAR PRADESH
Dharwara B.O,276131,Sadar,Azamgarh,UTTAR PRADESH
Dholana B.O,276405,Mohammada Bad Gohana,Mau,UTTAR PRADESH
Dighwania Kaji B.O,276136,Mehnagar **,Azamgarh,UTTAR PRADESH
Gambhir Ban B.O,276128,Jahana Ganj,Azamgarh,UTTAR PRADESH
Gopalpur Sethuli B.O,276201,Lal Ganj,Azamgarh,UTTAR PRADESH
Gotha B.O,275303,Ghosi,Mau,UTTAR PRADESH
Haidarabad B.O,276139,Sagri,Azamgarh,UTTAR PRADESH
Halima Bad B.O,276403,Mohammadabad Gohana,Mau,UTTAR PRADESH
Hathini B.O,275305,Sadar,Mau,UTTAR PRADESH
Jagdishpur B.O,276124,Sagari,Azamgarh,UTTAR PRADESH
Jagdishpur B.O,276304,Phoolpur,Azamgarh,UTTAR PRADESH
Kabiruddin Pur B.O,276142,Lalganj,Azamgarh,UTTAR PRADESH
Kakarahatta B.O,276125,Sagari,Azamgarh,UTTAR PRADESH
Kamalsagar B.O,221602,Madhuban,Mau,UTTAR PRADESH
Karaha S.O,276402,Mohammadabad Gohan,Mau,UTTAR PRADESH
Kariya Gopal Pur B.O,276201,Lal Ganj,Azamgarh,UTTAR PRADESH
Karui B.O,223224,Azamgarh ,Azamgarh,UTTAR PRADESH
Kekai Hindola B.O,276402,Mehnagar **,Azamgarh,UTTAR PRADESH
Khalispur B.O,276138,Sagari,Azamgarh,UTTAR PRADESH
Kolaura B.O,276403,Mohammadabad Gohana,Mau,UTTAR PRADESH
Lal Ganj (Azamgarh) S.O,276202,Lal Ganj,Azamgarh,UTTAR PRADESH
Luchui B.O,276136,Sagri,Azamgarh,UTTAR PRADESH
Ludaipur Bholaya B.O,275101,Burhanpur,Azamgarh,UTTAR PRADESH
Mahesh Pur B.O,276137,Burhanpur,Azamgarh,UTTAR PRADESH
Maholi B.O,276123,Mehnagar **,Azamgarh,UTTAR PRADESH
Makhmelpur B.O,275307,Ghosi,Mau,UTTAR PRADESH
Manik Pur Haraura B.O,275304,Ghosi,Mau,UTTAR PRADESH
Maukutubpur B.O,276127,Sagari,Azamgarh,UTTAR PRADESH
Meh Mauni B.O,276141,Azamgarh ,Azamgarh,UTTAR PRADESH
Mehanazpur S.O,276203,Lalganj,Azamgarh,UTTAR PRADESH
Molana Pur B.O,276137,Azamgarh ,Azamgarh,UTTAR PRADESH
Mundiyar B.O,276304,Phoolpur,Azamgarh,UTTAR PRADESH
Nurvey B.O,276303,Azamgarh ,Azamgarh,UTTAR PRADESH
Oril B.O,223222,Madhuban **,Mau,UTTAR PRADESH
Padari B.O,276402,M.b.gohana,Mau,UTTAR PRADESH
Parasupur B.O,275307,Madhuban,Mau,UTTAR PRADESH
Pichhaura B.O,276301,Azamgarh ,Azamgarh,UTTAR PRADESH
Pindohari B.O,221706,Sadar,Mau,UTTAR PRADESH
Rauna Par S.O,276122,Sagari,Azamgarh,UTTAR PRADESH
Salahabad B.O,275103,Sadar,Mau,UTTAR PRADESH
Salempur B.O,276202,Lalganj,Azamgarh,UTTAR PRADESH
Sarai Mohan B.O,276303,Lal Ganj,Azamgarh,UTTAR PRADESH
Sarvan B.O,221705,Sadar,Mau,UTTAR PRADESH
Sathion S.O,276406,Lalganj,Azamgarh,UTTAR PRADESH
Sen Pur B.O,223223,Azamgarh ,Azamgarh,UTTAR PRADESH
Shivpur B.O,276139,Sagari,Azamgarh,UTTAR PRADESH
Sohauli B.O,276301,Phulpur,Azamgarh,UTTAR PRADESH
Suraj Pur S.O,276306,Azamgarh ,Azamgarh,UTTAR PRADESH
Tarauka B.O,276136,Mehnagar **,Azamgarh,UTTAR PRADESH
Terahi S.O,276141,Azamgarh ,Azamgarh,UTTAR PRADESH
Urdiha B.O,276122,Azamgarh ,Azamgarh,UTTAR PRADESH
Walid Pur S.O,276405,Mohammadabad Gohana,Mau,UTTAR PRADESH
Ahamadpur Asana B.O,275304,Ghosi,Mau,UTTAR PRADESH
Ajaji Dewara Karkhia B.O,276122,Sagari,Azamgarh,UTTAR PRADESH
Ajampur B.O,276125,Sadar,Azamgarh,UTTAR PRADESH
Amari B.O,276142,Budan Pur,Azamgarh,UTTAR PRADESH
Bahadurpur B.O,221602,Madhuban,Mau,UTTAR PRADESH
Bamhaur B.O,276406,Sadar,Azamgarh,UTTAR PRADESH
Barikhas B.O,276206,Nizamabad,Azamgarh,UTTAR PRADESH
Basgit B.O,276001,Sadar,Azamgarh,UTTAR PRADESH
Beenapara B.O,276305,Nijamabad,Azamgarh,UTTAR PRADESH
Bela Kasaila B.O,276306,Azamgarh ,Azamgarh,UTTAR PRADESH
Bhadir B.O,276405,Mohammadabad Gohana,Mau,UTTAR PRADESH
Bhani Pur B.O,276288,Phool Pur,Azamgarh,UTTAR PRADESH
Bhela Bandh B.O,275305,Ghosi,Mau,UTTAR PRADESH
Bilari B.O,223221,Budan Pur,Azamgarh,UTTAR PRADESH
Chhitauna B.O,223221,Mehnagar **,Azamgarh,UTTAR PRADESH
Dev Gaon S.O,276201,Lal Ganj,Azamgarh,UTTAR PRADESH
Dharmdaspur Newada B.O,276304,Phoolpur,Azamgarh,UTTAR PRADESH
Dohari  Ghat S.O,275303,Ghosi,Mau,UTTAR PRADESH
Duwraon B.O,221705,Sadar,Mau,UTTAR PRADESH
Fatehpur Talratoy B.O,221603,Madhuban,Mau,UTTAR PRADESH
Gahaji B.O,223221,Nizamabad,Azamgarh,UTTAR PRADESH
Gopalpur B.O,276204,Mehnagar,Azamgarh,UTTAR PRADESH
Hira Patti B.O,276135,Sadar,Azamgarh,UTTAR PRADESH
Ishapur B.O,223226,Mehnagar **,Azamgarh,UTTAR PRADESH
Jairajpur B.O,276121,Lalganj,Azamgarh,UTTAR PRADESH
Jaitipur B.O,276202,Lalganj,Azamgarh,UTTAR PRADESH
Jajaauli B.O,221603,Madhuban,Mau,UTTAR PRADESH
Jameen Harkhori B.O,276140,Sagri,Azamgarh,UTTAR PRADESH
Jeoli B.O,276301,Lalganj,Azamgarh,UTTAR PRADESH
Jigar Sandi B.O,276129,Sadar,Azamgarh,UTTAR PRADESH
Kalafatpur B.O,276143,Lalganj,Azamgarh,UTTAR PRADESH
Karsara B.O,276202,Lal Ganj,Azamgarh,UTTAR PRADESH
Kasana B.O,275305,Sadar,Mau,UTTAR PRADESH
Katghar Shankar B.O,221603,Madhuban,Mau,UTTAR PRADESH
Kaura Gahani B.O,223224,Azamgarh ,Azamgarh,UTTAR PRADESH
Khajuri B.O,223221,Mehnagar **,Azamgarh,UTTAR PRADESH
Khargpur B.O,276126,Azamgarh ,Azamgarh,UTTAR PRADESH
Kirath Sarai B.O,221705,Sadar,Mau,UTTAR PRADESH
Koilari B.O,276131,Burhanpur,Azamgarh,UTTAR PRADESH
Kothwa Jalal Pur B.O,276142,Lalganj,Azamgarh,UTTAR PRADESH
Kurthi Zafar Pur B.O,275305,Burhanpur,Azamgarh,UTTAR PRADESH
Lahuwan B.O,276202,Lal Ganj,Azamgarh,UTTAR PRADESH
Lalanpur B.O,221603,Burhanpur,Azamgarh,UTTAR PRADESH
Lohara B.O,223223,Budan Pur,Azamgarh,UTTAR PRADESH
Maharaj Ganj S.O,276137,Azamgarh ,Azamgarh,UTTAR PRADESH
Makhuni B.O,276403,Mohammadabad Gohana,Mau,UTTAR PRADESH
Malgaon B.O,223222,Mehnagar **,Azamgarh,UTTAR PRADESH
Mehnagar S.O,276204,Mehnagar,Azamgarh,UTTAR PRADESH
Mittupur B.O,276131,Burhanpur,Azamgarh,UTTAR PRADESH
Mittupur S.O,276143,Burhanpur,Azamgarh,UTTAR PRADESH
Moongmas B.O,275307,Ghosi,Mau,UTTAR PRADESH
Murhar B.O,276303,Lal Ganj,Azamgarh,UTTAR PRADESH
Nagpur B.O,276402,Azamgarh ,Azamgarh,UTTAR PRADESH
Naharpur B.O,223225,Phoolpur,Azamgarh,UTTAR PRADESH
Naraipur B.O,276136,Mehnagar **,Azamgarh,UTTAR PRADESH
Nasiruddinpur B.O,276208,Sadar,Azamgarh,UTTAR PRADESH
Nizamabad S.O,276206,Nizamabad,Azamgarh,UTTAR PRADESH
Pach Khaura B.O,276141,Sagari,Azamgarh,UTTAR PRADESH
Palthi B.O,223224,Phoolpur,Azamgarh,UTTAR PRADESH
Panail B.O,275303,Ghosi,Mau,UTTAR PRADESH
Pawani Kala B.O,276204,Mehnagar,Azamgarh,UTTAR PRADESH
Phool Pur S.O,276304,Phool Pur,Azamgarh,UTTAR PRADESH
Pipari B.O,276142,Budan Pur,Azamgarh,UTTAR PRADESH
Piruth Singhpur B.O,275301,Ghosi,Mau,UTTAR PRADESH
Raida B.O,223225,Phoolpur,Azamgarh,UTTAR PRADESH
Rampur B.O,221602,Madhuban **,Mau,UTTAR PRADESH
Rani Puj B.O,276129,Mohammada Bad,Mau,UTTAR PRADESH
Rasoolpur B.O,276306,Madhuban,Mau,UTTAR PRADESH
Saharoj B.O,275305,Sadar,Mau,UTTAR PRADESH
Sansarava B.O,276402,Md. Gohana,Mau,UTTAR PRADESH
Semrajpur B.O,221706,NA,Mau,UTTAR PRADESH
Shethawal B.O,276207,Sadar,Azamgarh,UTTAR PRADESH
Siddha Ahilashpur B.O,221603,Maduban,Mau,UTTAR PRADESH
Sikraur B.O,276201,Lal Ganj,Azamgarh,UTTAR PRADESH
Sutarahi B.O,276406,Azamgarh ,Azamgarh,UTTAR PRADESH
Uchagaon B.O,276128,Sadar,Azamgarh,UTTAR PRADESH
Undaura B.O,221603,Ghosi,Mau,UTTAR PRADESH
Aliabulbul B.O,271802,Bahraich,Bahraich,UTTAR PRADESH
Amrahwa B.O,271803,Bhinga,Shrawasti,UTTAR PRADESH
Bahraich City S.O,271801,Bahraich,Bahraich,UTTAR PRADESH
Bairagijot B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Barkharia B.O,271841,Nanpara,Bahraich,UTTAR PRADESH
Bhutaha B.O,271845,Ikauna,Shrawasti,UTTAR PRADESH
Bichhiya B.O,271841,Nanpara,Bahraich,UTTAR PRADESH
Bulbul Newaj B.O,271882,Nanpara ,Bahraich,UTTAR PRADESH
Chetia Murar B.O,271835,Ikauna,Shrawasti,UTTAR PRADESH
Chhwani Bazar S.O,271801,Bahraich,Bahraich,UTTAR PRADESH
Chittuara B.O,271802,Bahraich,Bahraich,UTTAR PRADESH
Deorania B.O,271875,Bhinga,Shrawasti,UTTAR PRADESH
Devlakha B.O,271903,Kaiserganj,Bahraich,UTTAR PRADESH
Dhannigaon B.O,271865,Nanpara ,Bahraich,UTTAR PRADESH
Dharampur B.O,271855,Nanpara,Bahraich,UTTAR PRADESH
Dikuali B.O,271804,Bhinga,Shrawasti,UTTAR PRADESH
Fattepur B.O,271825,Mahasi,Bahraich,UTTAR PRADESH
Gajadharpur B.O,271902,Kaiserganj,Bahraich,UTTAR PRADESH
Girijapuri Coloney S.O,271841,Nanpara ,Bahraich,UTTAR PRADESH
Gopala Sarai B.O,271803,Bhinga,Shrawasti,UTTAR PRADESH
Harchanda B.O,271904,Kaiserganj,Bahraich,UTTAR PRADESH
Hariharpur Rani B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Jagtapur B.O,271872,Kaiserganj,Bahraich,UTTAR PRADESH
Jiganiamahipal B.O,271872,Kaiserganj,Bahraich,UTTAR PRADESH
Kalkalwa B.O,271803,Bhinga,Shrawasti,UTTAR PRADESH
Karanpur B.O,271875,Nanpara,Bahraich,UTTAR PRADESH
Katghara Kala B.O,271870,Kaiserganj,Bahraich,UTTAR PRADESH
Katka Bhagatpurwa B.O,271903,Kaiserganj,Bahraich,UTTAR PRADESH
Katkuiya B.O,271840,Bhinga,Shrawasti,UTTAR PRADESH
Katraniaghat B.O,271841,Nanpara,Bahraich,UTTAR PRADESH
Laluhi B.O,271830,Nanpara,Bahraich,UTTAR PRADESH
Laxman Nagar Bazar S.O,271804,Ikauna,Shrawasti,UTTAR PRADESH
Laxmanpur Bazar B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Mahuri Kala B.O,271904,Kaiserganj,Bahraich,UTTAR PRADESH
Mankapur Kala B.O,271871,Bahraich,Bahraich,UTTAR PRADESH
Motipur B.O,271855,Nanpara,Bahraich,UTTAR PRADESH
Mukeria B.O,271851,Mahasi,Bahraich,UTTAR PRADESH
Naiwashi B.O,271872,Kaiserganj,Bahraich,UTTAR PRADESH
Nisangora B.O,271855,Nanpara,Bahraich,UTTAR PRADESH
Pakara Deoria B.O,271882,Nanpara,Bahraich,UTTAR PRADESH
Parsendi B.O,271903,Kaiserganj,Bahraich,UTTAR PRADESH
Parsia B.O,271870,Payagpur **,Shrawasti,UTTAR PRADESH
Patna Khargaura B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Payagpur S.O,271871,Bahraich,Bahraich,UTTAR PRADESH
Piparia Mahipal Singh B.O,271870,Kaiserganj,Bahraich,UTTAR PRADESH
Pure Gokul Singh B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Pure Wale B.O,271840,Bhinga,Shrawasti,UTTAR PRADESH
Rahmatogaon B.O,271865,Nanpara ,Bahraich,UTTAR PRADESH
Rajapur Kalan B.O,271851,Mahasi,Bahraich,UTTAR PRADESH
Rampur Dhobia B.O,271830,Nanpara,Bahraich,UTTAR PRADESH
Ranipur B.O,271840,Bhinga,Shrawasti,UTTAR PRADESH
Sangwa B.O,271855,Nanpara ,Bahraich,UTTAR PRADESH
Sarsa B.O,271870,Kaiserganj,Bahraich,UTTAR PRADESH
Semgarha B.O,271835,Ikauna,Shrawasti,UTTAR PRADESH
Shankarpur B.O,271875,Nanpara,Bahraich,UTTAR PRADESH
Shankarpur Laxmanpur B.O,271851,Nanpara,Bahraich,UTTAR PRADESH
Sohariyawan B.O,271821,Bahraich,Bahraich,UTTAR PRADESH
Turahni Rajjab B.O,271802,Bahraich,Bahraich,UTTAR PRADESH
Urra Bazar B.O,271855,Nanpara,Bahraich,UTTAR PRADESH
Vijaypur Sisawan B.O,271835,Ikauna,Shrawasti,UTTAR PRADESH
Arai Umari B.O,271904,NA,Bahraich,UTTAR PRADESH
Bahrai R.S. B.O,271802,Bahraich,Bahraich,UTTAR PRADESH
Bahraich H.O,271801,Bahraich,Bahraich,UTTAR PRADESH
Bakaina Bazar B.O,271851,Mahasi,Bahraich,UTTAR PRADESH
Balha B.O,271865,Nanpara,Bahraich,UTTAR PRADESH
Basantapur B.O,271872,Kaiserganj,Bahraich,UTTAR PRADESH
Bhartha B.O,271901,Kaiserganj,Bahraich,UTTAR PRADESH
Birahimpur B.O,271903,Kaiserganj,Bahraich,UTTAR PRADESH
Diha B.O,271802,Bahraich,Bahraich,UTTAR PRADESH
Ekgharwa B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Gaighat B.O,271865,Nanpara,Bahraich,UTTAR PRADESH
Girdharpur B.O,271865,Nanpara,Bahraich,UTTAR PRADESH
Gopia B.O,271855,Nanpara,Bahraich,UTTAR PRADESH
Gujra B.O,271872,Kaiserganj,Bahraich,UTTAR PRADESH
Hardi B.O,271825,Mahasi,Bahraich,UTTAR PRADESH
Ikauna S.O,271845,Ikauna,Bahraich,UTTAR PRADESH
Intaha B.O,271882,Nanpara,Bahraich,UTTAR PRADESH
Jarwal S.O,271904,Kaiserganj,Bahraich,UTTAR PRADESH
Jogin Bharia B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Jokhwa Bazar B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Kandila Khas B.O,271904,Kaiserganj,Bahraich,UTTAR PRADESH
Kashijot B.O,271871,Bahraich,Bahraich,UTTAR PRADESH
Katha B.O,271835,Ikauna,Shrawasti,UTTAR PRADESH
Kathara Bazar B.O,271803,Bhinga,Shrawasti,UTTAR PRADESH
Khairabazar B.O,271902,Nanpara ,Bahraich,UTTAR PRADESH
Khajurar B.O,271845,Payagpur **,Shrawasti,UTTAR PRADESH
Khariha B.O,271821,Bahraich,Bahraich,UTTAR PRADESH
Maharu Murtiha B.O,271803,Bhinga,Shrawasti,UTTAR PRADESH
Maila Saraiya B.O,271902,NA,Bahraich,UTTAR PRADESH
Majhara B.O,271855,Nanpara,Bahraich,UTTAR PRADESH
Manikpur B.O,271830,Nanpara,Bahraich,UTTAR PRADESH
Manoharapur B.O,271845,Ikauna,Shrawasti,UTTAR PRADESH
Matehi B.O,271855,Nanpara,Bahraich,UTTAR PRADESH
Matera RS S.O,271882,Nanpara ,Bahraich,UTTAR PRADESH
Mustafabad B.O,271904,Kaiserganj,Bahraich,UTTAR PRADESH
Naruttampur B.O,271851,Nanpara,Bahraich,UTTAR PRADESH
Naubasta B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Naugoia B.O,271903,Kaisarganj,Bahraich,UTTAR PRADESH
Newada B.O,271830,Nanpara ,Bahraich,UTTAR PRADESH
Patna Ghesiyari B.O,271875,Nanpara,Bahraich,UTTAR PRADESH
Pipri B.O,271825,Mahasi,Bahraich,UTTAR PRADESH
Puredeen Namgarh B.O,271805,Ikauna,Shrawasti,UTTAR PRADESH
Semariyawan B.O,271871,Bahraich,Bahraich,UTTAR PRADESH
Shravasti S.O,271805,Ikauna,Shrawasti,UTTAR PRADESH
Singhpur B.O,271872,Kaiserganj,Bahraich,UTTAR PRADESH
Siswara B.O,271835,Ikauna,Shrawasti,UTTAR PRADESH
Soharwa B.O,271875,Bahraich,Bahraich,UTTAR PRADESH
Taal Baghaura B.O,271840,Bhinga,Shrawasti,UTTAR PRADESH
Takiya B.O,271845,Ikauna,Shrawasti,UTTAR PRADESH
Tallab Baghel B.O,271871,Bahraich,Bahraich,UTTAR PRADESH
Balai Goan B.O,271855,Nanpara,Bahraich,UTTAR PRADESH
Banjaria B.O,271881,Nanpara ,Bahraich,UTTAR PRADESH
Bankashi B.O,271865,Nanpara,Bahraich,UTTAR PRADESH
Basantapur B.O,271830,Nanpara,Bahraich,UTTAR PRADESH
Beerpur B.O,271840,Bhinga,Shrawasti,UTTAR PRADESH
Chahalwa B.O,271841,Nanpara,Bahraich,UTTAR PRADESH
Charda B.O,271881,Nanpara,Bahraich,UTTAR PRADESH
Chok Sahar B.O,271851,Mahasi,Bahraich,UTTAR PRADESH
Garethi Gurudutt Singh B.O,271851,Mahsi,Bahraich,UTTAR PRADESH
Handa Basehri B.O,271865,Nanpara,Bahraich,UTTAR PRADESH
Hempur B.O,271840,Bhinga,Shrawasti,UTTAR PRADESH
Jamdan B.O,271803,Ikauna,Shrawasti,UTTAR PRADESH
Jataura B.O,271901,Kaiserganj,Bahraich,UTTAR PRADESH
Kandra B.O,271872,Kaiserganj,Bahraich,UTTAR PRADESH
Kapoorpur B.O,271824,Mahasi,Bahraich,UTTAR PRADESH
Kewalpur B.O,271851,Nanpara,Bahraich,UTTAR PRADESH
Kishun Pur Chand Bhari B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Kot Bazar B.O,271871,Payagpur **,Shrawasti,UTTAR PRADESH
Kotwa B.O,271865,Nanpara,Bahraich,UTTAR PRADESH
Lalpur B.O,271871,Bahraich,Bahraich,UTTAR PRADESH
Laukahi B.O,271871,Bahraich,Bahraich,UTTAR PRADESH
Madhavpur Nidaona B.O,271881,Nanpara,Bahraich,UTTAR PRADESH
Makanpur B.O,271881,Nanpara,Bahraich,UTTAR PRADESH
Metkaha B.O,271802,Mahasi **,Bahraich,UTTAR PRADESH
Nautala B.O,271851,Mahasi,Bahraich,UTTAR PRADESH
Nidhipurwa B.O,271855,Nanpara,Bahraich,UTTAR PRADESH
Petraha B.O,271855,Nanpara,Bahraich,UTTAR PRADESH
Puraina B.O,271821,Bahraich,Bahraich,UTTAR PRADESH
Raibojha B.O,271865,Nanpara,Bahraich,UTTAR PRADESH
Raiganj B.O,271830,Nanpara,Bahraich,UTTAR PRADESH
Raipur B.O,271851,Mahasi,Bahraich,UTTAR PRADESH
Ramgarhi B.O,271902,Kaiserganj,Bahraich,UTTAR PRADESH
Rani Ganj B.O,271904,Kaiserganj,Bahraich,UTTAR PRADESH
Raniapur Gobrahi B.O,271821,Bahraich,Bahraich,UTTAR PRADESH
Rupaidiha S.O,271881,Nanpara ,Bahraich,UTTAR PRADESH
Shahpur Kathotia B.O,271804,Bhinga,Shrawasti,UTTAR PRADESH
Shekhdahir B.O,271802,Mahasi,Bahraich,UTTAR PRADESH
Shivpur Bairagi B.O,271821,Bahraich,Bahraich,UTTAR PRADESH
Sujauli B.O,271841,Nanpara,Bahraich,UTTAR PRADESH
Tandwabasantpur B.O,271825,Mahasi Tahsil,Bahraich,UTTAR PRADESH
Tulsipur B.O,271802,Bhinga,Shrawasti,UTTAR PRADESH
Vanshpurwa B.O,271851,Mahasi,Bahraich,UTTAR PRADESH
Aggapur B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Ailo B.O,271871,Bahraich,Bahraich,UTTAR PRADESH
Akbarapur Semra B.O,271831,Bhinga,Shrawasti,UTTAR PRADESH
Bachkahwa B.O,271840,Bhinga,Shrawasti,UTTAR PRADESH
Bamiyari B.O,271902,Kaiserganj,Bahraich,UTTAR PRADESH
Belhan B.O,271855,Nanpara ,Bahraich,UTTAR PRADESH
Belwa Padum B.O,271870,Kaiserganj,Bahraich,UTTAR PRADESH
Bhagwanpur Bhaisahi B.O,271803,Bhinga,Shrawasti,UTTAR PRADESH
Bhangha B.O,271872,Kaiserganj,Bahraich,UTTAR PRADESH
Bhilora Basu B.O,271902,Kaiserganj,Bahraich,UTTAR PRADESH
